state_name,year,quarter_num,median_home_value,yoy_growth_pct
Idaho,2022,1,462396.27,23.66
Idaho,2022,2,484394.82,17.87
Idaho,2022,3,484252.8,10.96
Idaho,2022,4,465152.18,4.09
Idaho,2023,1,448537.77,-3.0
Missouri,2020,1,164584.25,
Missouri,2020,2,167858.81,
Missouri,2020,3,171251.9,
Missouri,2020,4,179291.58,
Missouri,2021,1,186836.05,13.52
Missouri,2021,2,196015.58,16.77
Missouri,2021,3,203018.1,18.55
Missouri,2021,4,206302.71,15.07
Missouri,2022,1,214977.26,15.06
Missouri,2022,2,226490.64,15.55
Missouri,2022,3,231194.94,13.88
Missouri,2022,4,229951.98,11.46
Missouri,2023,1,231571.8,7.72
Utah,2020,1,362006.02,
Utah,2020,2,371037.65,
Utah,2020,3,377672.68,
Utah,2020,4,396268.98,
Utah,2021,1,419793.35,15.96
Utah,2021,2,447971.48,20.73
Utah,2021,3,475428.39,25.88
Utah,2021,4,492001.42,24.16
Utah,2022,1,515595.06,22.82
Utah,2022,2,545814.8,21.84
Utah,2022,3,545565.14,14.75
Utah,2022,4,527589.1,7.23
Utah,2023,1,517863.75,0.44
Minnesota,2020,1,253860.36,
Minnesota,2020,2,258597.38,
Minnesota,2020,3,260474.22,
Minnesota,2020,4,268723.07,
Minnesota,2021,1,279114.18,9.95
Minnesota,2021,2,290670.62,12.4
Minnesota,2021,3,300633.46,15.42
Minnesota,2021,4,302976.52,12.75
Minnesota,2022,1,312145.82,11.83
Minnesota,2022,2,326021.35,12.16
Minnesota,2022,3,328679.84,9.33
Minnesota,2022,4,324326.4,7.05
Minnesota,2023,1,323523.6,3.65
Mississippi,2020,1,129410.39,
Mississippi,2020,2,131309.91,
Mississippi,2020,3,133344.95,
Mississippi,2020,4,137035.11,
Mississippi,2021,1,140417.91,8.51
Mississippi,2021,2,145454.33,10.77
Mississippi,2021,3,150936.68,13.19
Mississippi,2021,4,155954.11,13.81
Mississippi,2022,1,161043.14,14.69
Mississippi,2022,2,164046.78,12.78
Mississippi,2022,3,166794.03,10.51
Mississippi,2022,4,165324.09,6.01
Mississippi,2023,1,166617.0,3.46
New Hampshire,2020,1,302544.51,
New Hampshire,2020,2,308752.35,
New Hampshire,2020,3,315447.54,
New Hampshire,2020,4,331811.67,
New Hampshire,2021,1,350593.91,15.88
New Hampshire,2021,2,371768.82,20.41
New Hampshire,2021,3,385814.19,22.31
New Hampshire,2021,4,385987.9,16.33
New Hampshire,2022,1,402925.54,14.93
New Hampshire,2022,2,432205.35,16.26
New Hampshire,2022,3,441762.82,14.5
New Hampshire,2022,4,441277.26,14.32
New Hampshire,2023,1,441754.5,9.64
Wyoming,2020,1,250592.49,
Wyoming,2020,2,253953.61,
Wyoming,2020,3,257821.04,
Wyoming,2020,4,265021.83,
Wyoming,2021,1,272814.57,8.87
Wyoming,2021,2,281315.09,10.77
Wyoming,2021,3,288146.26,11.76
Wyoming,2021,4,295026.43,11.32
Wyoming,2022,1,304635.04,11.66
Wyoming,2022,2,315077.48,12.0
Wyoming,2022,3,321887.04,11.71
Wyoming,2022,4,323584.92,9.68
Wyoming,2023,1,325615.95,6.89
